    
 Dharwad         | Kalghatgi     | T-Honnalli       |166| G.H.P.S. G-Hulikatti
 Ramnagara      | Kanakapura    | Sathanuru        |106| G.H.P.S. Sathanuru
 Ramnagara      | Kanakapura    | Shivanahalli     |74| G.H.P.S. Horalagallu
 Bangalore Rural | Hoskote       | Devanagundi      |188| G.H.P.S.Devangundi
 Bangalore Rural | Hoskote       | Jadigenahalli    |209| G.H.P.S.Orohalli
 Bangalore Rural | Hoskote       | Bendiganahalli   |247| G.H.P.S.Bendiganahalli
 Bangalore Rural | Hoskote       | Shivanapura      |439| G.H.P.S.Gottipura
 Ramnagara      | Kanakapura    | Thungani         |103| G.H.P.S. P.Rampura
 Bangalore Rural | Hoskote       | Shivanapura      |441| G.H.P.S.Karappanahalli
 Bangalore Rural | Hoskote       | Kalkunte         |198| G.H.P.S.Narayanakere
 Chikballapur    | Chikballapur  | Agalagurki       |263| G.H.P.S.Agalagurki
 Chikballapur    | Chikballapur  | Poshettihalli    |281| G.H.P.S.Gungerlahalli
 Davanagere      | Harapanahalli | Telagi           |551| G.H.P.S.Yarbabalu
 Ramnagara      | Kanakapura    | Erandyapanahalli |18| G.H.P.S. Arekere
 Ramnagara      | Kanakapura    | Maralavadi       |98| G.H.P.S. Maralavadi
 Bangalore       | Anekal        | Haragadde        |314| Nosenoor
 Ramnagara      | Kanakapura    | Chikkamuduvadi   |94| G.H.P.S. Koothaganahalli
 Dharwad         | Kalghatgi     | Muthagi          |481| G.H.P.S.B-Shigigatti
 Bangalore       | Anekal        | Hennagara        |324| Hennagara
 Chikballapur    | Chikballapur  | SreeRampura      |266| G.H.P.S.Bidaganahalli
 Ramnagara      | Kanakapura    | Sathanuru        |119| G.H.P.S. Yadamaranahalli
 Ramnagara      | Kanakapura    | Maralebekuppe    |32| G.H.P.S. Nallahalli
 Dharwad         | Kalghatgi     | Mukkal           |136| G.H.P.S. Yalavadala
 Bangalore Rural | Hoskote       | Vagata           |224| G.H.P.S.Vagata
 Bangalore Rural | Hoskote       | Vagata           |226| G.H.P.S.Khjihosahalli
 Dharwad         | Kalghatgi     | Kudalagi         |495| G.H.P.S.Sangameshwar
 Bangalore Rural | Hoskote       | Samethanahalli   |203| G.H.P.S.Muttasandra
 Bangalore Rural | Hoskote       | Devanagundi      |190| G.H.P.S.D Dunnasandra
 Bangalore Rural | Hoskote       | Samethanahalli   |205| G.H.P.S.Nadavatthi
 Bangalore Rural | Hoskote       | Sulibele         |255| G.H.P.S.Giddappanahalli
 Ramnagara      | Kanakapura    | Banavasi         |93| G.H.P.S. Konasandra
 Ramnagara      | Kanakapura    | Athihalli        |82| G.H.P.S. Kamsagara
 Ramnagara      | Kanakapura    | Erandyapanahalli |63| G.H.P.S. Gattigunda
 Davanagere      | Harapanahalli | Madihalli        |565| G.H.P.S.Hosakote
 Bangalore Rural | Hoskote       | Vagata           |227| G.H.P.S.Tarabahalli
 Ramnagara      | Kanakapura    | Narayanapura     |88| G.H.P.S. Keralalusandra
 Ramnagara      | Kanakapura    | Hegganuru        |102| G.H.P.S. Nayakanahalli
 Ramnagara      | Kanakapura    | Maralebekuppe    |90| G.H.P.S. Kokkarehosahalli
 Chikballapur    | Gauribidnur   | Thondebhavi      |289| G.H.P.S.Thondebhavi
 Dharwad         | Kalghatgi     | Dastikoppa       |134| G.H.P.S. Ramanala
 Dharwad         | Kalghatgi     | Mukkal           |145| G.H.P.S. Mukkal
 Davanagere      | Harapanahalli | Chirstahalli     |542| G.H.P.S.Machihalli Tanda
 Bangalore Rural | Hoskote       | Jadigenahalli    |212| G.H.P.S.Attivatta
 Ramnagara      | Kanakapura    | Anedoddi         |78| G.H.P.S. Kadasikoppa
 Bangalore       | Anekal        | Hennagara        |316| Koppagete
 Ramnagara      | Kanakapura    | Shivanahalli     |107| G.H.P.S. Seegekote
 Ramnagara      | Kanakapura    | Athihalli        |26| G.H.P.S. Kachuvanahalli
 Chikballapur    | Gauribidnur   | Halehalli        |284| G.H.P.S.varavani
 Ramnagara      | Kanakapura    | Hegganuru        |23| G.H.P.S. Heggnuru
 Davanagere      | Harapanahalli | Madlageri        |553| G.H.P.S.Madlageri
 Dharwad         | Kalghatgi     | Kudalagi         |497| G.H.P.S.Dimbuvalli
 Bangalore       | Anekal        | Bannerghatta     |307| G.H.P.S.Bannerugatta
 Davanagere      | Harapanahalli | Chirstahalli     |541| G.H.P.S.Machihalli
 Bangalore Rural | Hoskote       | Bendiganahalli   |250| G.H.P.S.T Agrahara
 Ramnagara      | Kanakapura    | Anedoddi         |75| G.H.P.S. Hulugondanahalli
 Ramnagara      | Kanakapura    | Narayanapura     |9| G.H.P.S. Hulibele
 Bangalore Rural | Hoskote       | Alappanahalli    |244| G.H.P.S.Kurubarahalli
 Dharwad         | Kalghatgi     | Kalghatgi        |153| G.H.P.S. KGS Kalghatgi
 Bangalore Rural | Hoskote       | Shivanapura      |443| G.H.P.S.Muttakadahalli
 Bangalore Rural | Hoskote       | Kalkunte         |196| G.H.P.S.Bhgur
 Ramnagara      | Kanakapura    | Athihalli        |64| G.H.P.S. Gerahalli
 Dharwad         | Kalghatgi     | Hulkoppa         |185| G.H.P.S. J-Basavanakoppa
 Dharwad         | Kalghatgi     | Kalghatgi        |148| G.H.P.S. Gandhinagar
 Ramnagara      | Kanakapura    | Erandyapanahalli |47| G.H.P.S. Bilidale
 Ramnagara      | Kanakapura    | Erandyapanahalli |125| G.H.P.S. Hanchguli
 Bangalore Rural | Hoskote       | Vagata           |229| G.H.P.S.Kattigenahalli
 Ramnagara      | Kanakapura    | Maralavadi       |120| G.H.P.S. Yalachavadi
 Chikballapur    | Gauribidnur   | Alakapura        |286| G.H.P.S.Pura
 Ramnagara      | Kanakapura    | Thungani         |97| G.H.P.S. Malligemettilu
 Bangalore Rural | Hoskote       | Begur            |216| G.H.P.S.Dasarahalli
 Bangalore Rural | Hoskote       | Nandagudi        |463| G.H.P.S.Anuppalli
 Ramnagara      | Kanakapura    | Halasuru         |73| G.H.P.S. Honniganahalli
 Ramnagara      | Kanakapura    | Banavasi         |122| G.H.P.S.Algadakalu
 Davanagere      | Harapanahalli | Kanchikare       |557| G.H.P.S.Kyarkatti
 Davanagere      | Harapanahalli | Goverhalli       |544| G.H.P.S.Hulikatti
 Bangalore Rural | Hoskote       | Shivanapura      |260| G.H.P.S.Chikkanahalli
 Bangalore Rural | Hoskote       | Begur            |215| G.H.P.S.Doddahullur
 Bangalore Rural | Hoskote       | Kalkunte         |197| G.H.P.S.Turuvaranga
 Bangalore       | Anekal        | Bannerghatta     |302| G.H.P.S.Bilwardanahalli
 Davanagere      | Harapanahalli | Chirstahalli     |550| G.H.P.S.Alagilwad
 Bangalore       | Anekal        | Bannerghatta     |306| G.H.P.S.Malenallasandra
 Dharwad         | Kalghatgi     | Mukkal           |138| G.H.P.S. Bammigatti (KBS) 
 Bangalore Rural | Hoskote       | Sulibele         |252| G.H.P.S.Sulibele
 Ramnagara      | Kanakapura    | Hukunda          |24| G.H.P.S. Hukunda
 Bangalore       | Anekal        | Haragadde        |312| Madapattana
 Ramnagara      | Kanakapura    | Narayanapura     |127| G.H.P.S. Bettegowdanadoddi
 Ramnagara      | Kanakapura    | Maralebekuppe    |29| G.H.P.S. Krishnayyanadoddi
 Bangalore Rural | Hoskote       | Nelavagilu       |452| G.H.P.S.Nelavagilu
